"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Kyle Lewis","Mariners","242","14.0%","29.3%","0.48",".262",".364",".437",".801",".175","4.0",".341","1.8","-0.4","0.3","36","6.0",".349","126","19508"
"Kyle Tucker","Astros","228","7.9%","20.2%","0.39",".268",".325",".512",".837",".244","7.7",".303","1.5","0.7","1.0","34","5.6",".349","125","18345"
"Dansby Swanson","Braves","264","8.3%","26.9%","0.31",".274",".345",".464",".809",".190","5.4",".350","1.9","1.5","0.8","39","6.4",".348","116","18314"
"Adam Duvall","Braves","209","7.2%","25.8%","0.28",".237",".301",".532",".833",".295","2.1",".240","0.2","0.5","-0.1","31","5.0",".348","116","10950"
"Brian Anderson","Marlins","229","9.6%","28.8%","0.33",".255",".345",".465",".810",".210","2.4",".323","0.2","0.6","-0.2","34","5.4",".348","121","18289"
"Didi Gregorius","Phillies","237","6.3%","11.8%","0.54",".284",".339",".488",".827",".205","4.9",".285","0.1","0.7","-0.4","35","5.6",".348","116","6012"
"Joey Votto","Reds","223","16.6%","19.3%","0.86",".226",".354",".446",".800",".220","1.4",".235","-1.0","-0.5","-0.2","33","5.2",".347","114","4314"
"Wilmer Flores","Giants","213","6.1%","16.9%","0.36",".268",".315",".515",".830",".247","4.0",".272","-0.3","0.0","0.1","32","5.0",".347","121","5827"
"Jesus Aguilar","Marlins","216","10.6%","18.5%","0.58",".277",".352",".457",".809",".181","2.0",".306","-0.8","-0.2","-0.6","32","5.0",".347","121","11342"
"Willy Adames","Rays","205","9.8%","36.1%","0.27",".259",".332",".481",".813",".222","4.6",".388","2.0","0.2","-0.2","30","4.7",".347","124","15986"
"Renato Nunez","Orioles","216","7.9%","29.6%","0.27",".256",".324",".492",".816",".236","1.4",".317","-1.2","-0.1","-0.2","32","4.9",".347","119","14503"
"Christian Vazquez","Red Sox","189","8.5%","22.8%","0.37",".283",".344",".457",".801",".173","3.0",".341","-1.8","-0.2","-0.7","28","4.1",".346","115","9774"
"Christian Yelich","Brewers","247","18.6%","30.8%","0.61",".205",".356",".430",".786",".225","4.9",".259","-0.9","0.0","-0.3","36","4.8",".343","112","11477"
"Pete Alonso","Mets","239","10.0%","25.5%","0.39",".231",".326",".490",".817",".260","2.5",".242","-2.6","0.6","0.0","35","4.5",".342","119","19251"
"Kevin Pillar","- - -","223","5.8%","18.4%","0.32",".288",".336",".462",".798",".173","6.5",".335","1.5","0.4","0.0","32","4.0",".341","106","12434"
"Franmil Reyes","Indians","241","10.0%","28.6%","0.35",".275",".344",".450",".795",".175","1.1",".355","-1.2","-0.5","-0.2","35","4.3",".341","112","14566"
"Colin Moran","Pirates","200","9.5%","26.0%","0.37",".247",".325",".472",".797",".225","1.6",".291","-1.4","-1.4","-0.1","29","3.5",".340","114","16909"
"Charlie Blackmon","Rockies","247","7.7%","17.8%","0.43",".303",".356",".448",".804",".145","3.8",".347","0.2","-0.2","-0.2","35","4.2",".340","97","7859"
"J.D. Davis","Mets","229","13.5%","24.5%","0.55",".247",".371",".389",".761",".142","1.3",".318","-2.0","-0.5","-0.2","32","3.7",".339","117","16219"
"Christian Walker","Diamondbacks","243","7.8%","20.6%","0.38",".271",".333",".459",".792",".188","3.8",".317","1.2","0.0","-0.4","34","3.9",".339","110","13419"
"Yasmani Grandal","White Sox","194","15.5%","29.9%","0.52",".230",".351",".422",".773",".193","1.5",".299","-1.9","-0.3","-0.2","27","3.0",".338","117","11368"
"Raimel Tapia","Rockies","206","6.8%","18.4%","0.37",".321",".369",".402",".772",".082","6.4",".392","2.2","0.5","0.5","29","3.2",".338","96","14350"
"Vladimir Guerrero Jr.","Blue Jays","243","8.2%","15.6%","0.53",".262",".329",".462",".791",".199","4.5",".282","-0.4","-0.5","0.0","34","3.7",".338","115","19611"
"Kyle Seager","Mariners","248","12.9%","13.3%","0.97",".241",".355",".433",".788",".192","4.6",".240","0.7","0.2","0.8","35","3.8",".338","118","9785"
"Cody Bellinger","Dodgers","243","12.3%","17.3%","0.71",".239",".333",".455",".789",".216","4.2",".245","-0.3","0.2","0.6","34","3.6",".337","114","15998"
"Rafael Devers","Red Sox","248","5.2%","27.0%","0.19",".263",".310",".483",".793",".220","2.6",".325","1.7","-0.6","-0.2","35","3.6",".337","109","17350"
"Willson Contreras","Cubs","225","8.9%","25.3%","0.35",".243",".356",".407",".763",".164","3.4",".307","1.3","-1.2","-0.9","31","3.1",".336","109","11609"
"Cesar Hernandez","Indians","261","9.2%","21.8%","0.42",".283",".355",".408",".763",".124","1.8",".364","0.7","-0.1","-0.2","36","3.5",".335","108","10556"
"Jurickson Profar","Padres","202","7.4%","13.9%","0.54",".278",".343",".428",".771",".150","4.9",".293","0.8","1.1","0.8","28","2.6",".335","111","10815"
"Brandon Crawford","Giants","193","7.8%","24.4%","0.32",".256",".326",".465",".792",".209","2.6",".303","0.1","0.2","-0.8","27","2.4",".334","112","5343"
"Randal Grichuk","Blue Jays","231","5.6%","21.2%","0.27",".273",".312",".481",".793",".208","3.1",".299","0.6","-0.1","-0.4","32","2.8",".334","112","10243"
"David Peralta","Diamondbacks","218","6.0%","20.6%","0.29",".300",".339",".433",".773",".133","3.1",".361","-0.2","0.2","0.0","30","2.5",".333","107","2136"
"Starling Marte","- - -","250","4.8%","16.4%","0.29",".281",".340",".430",".770",".149","6.2",".319","1.5","-0.3","0.9","34","2.8",".333","109","9241"
"Eddie Rosario","Twins","231","8.2%","14.7%","0.56",".257",".316",".476",".792",".219","3.3",".248","-2.5","0.5","0.0","32","2.6",".333","110","12155"
"Jean Segura","Phillies","217","10.6%","20.7%","0.51",".266",".347",".422",".769",".156","4.4",".314","0.2","-0.6","-0.7","30","2.4",".333","107","5933"
"Eugenio Suarez","Reds","231","13.0%","29.0%","0.45",".202",".312",".470",".781",".268","3.1",".214","0.8","-0.5","0.2","31","2.3",".332","104","12552"
"Nicholas Castellanos","Reds","242","7.9%","28.5%","0.28",".225",".298",".486",".784",".261","4.6",".257","-0.1","-0.1","-1.0","32","1.9",".329","102","11737"
"Maikel Franco","Royals","243","6.6%","15.6%","0.42",".278",".321",".457",".778",".179","2.1",".298","-0.6","-0.1","0.0","32","1.9",".329","106","12179"
"Whit Merrifield","Royals","265","4.5%","12.5%","0.36",".282",".325",".440",".764",".157","5.3",".295","-0.8","-0.1","0.9","35","2.1",".329","106","11281"
"Max Kepler","Twins","196","11.2%","18.4%","0.61",".228",".321",".439",".760",".211","4.2",".236","1.2","0.6","0.5","26","1.4",".328","107","12144"
"Andrew McCutchen","Phillies","241","9.1%","19.9%","0.46",".253",".324",".433",".757",".180","4.2",".281","-1.9","-0.3","0.6","32","1.5",".327","103","9847"
"Hunter Dozier","Royals","186","14.5%","25.8%","0.56",".228",".344",".392",".736",".165","7.1",".288","0.8","0.1","0.6","24","1.1",".326","104","15117"
"Anthony Rizzo","Cubs","243","11.5%","15.6%","0.74",".222",".342",".414",".755",".192","2.9",".218","0.0","-0.4","0.0","32","1.3",".326","103","3473"
"Francisco Lindor","Indians","266","9.0%","15.4%","0.59",".258",".335",".415",".750",".157","3.7",".280","-1.6","-1.0","0.1","34","0.9",".324","100","12916"
"Miguel Cabrera","Tigers","231","10.4%","22.1%","0.47",".250",".329",".417",".746",".167","2.5",".283","-2.5","0.4","0.0","30","0.6",".323","103","1744"
"Asdrubal Cabrera","Nationals","213","8.9%","18.8%","0.48",".242",".305",".447",".753",".205","3.4",".260","-2.0","-0.5","-0.1","27","-0.2",".319","95","4962"
"Nick Ahmed","Diamondbacks","217","8.3%","21.2%","0.39",".266",".327",".402",".729",".136","5.5",".324","1.2","0.3","0.6","27","-0.3",".318","97","12147"
"Orlando Arcia","Brewers","189","7.4%","16.9%","0.44",".260",".317",".416",".734",".156","4.6",".292","-0.3","-2.9","0.3","23","-0.4",".317","96","13185"
